时间,标题,简讯,date
2023-08-24 09:31:08,北向资金今日净买入32.33亿元 工业富联获净买入3.86亿元,北向资金今日净买入32.33亿元。工业富联、隆基绿能、宁德时代分别获净买入3.86亿元、3.33亿元、3.22亿元。贵州茅台净卖出额居首，金额为3.83亿元。,2023-08-24
2023-08-24 09:16:40,国泰君安：投资者交易佣金率在原有基础上统一下调0.00146%,【国泰君安：投资者交易佣金率在原有基础上统一下调0.00146%】国泰君安今日发布《国泰君安证券关于下调部分品种证券交易费用的告知函》，本次佣金调整范围为司内所有普通和信用资金账户，沪深交易所A股、B股、存托凭证的证券交易佣金率将在原有基础上统一下调0.00146%，北交所证券交易经手费由“按成交金额的0.025％双边收取”下调至“按成交金额的0.0125％双边收取”。本次佣金调整标准自2023年8月28日起正式实施。（财联社记者 高艳云）,2023-08-24
2023-08-24 09:15:56,三部门：到2025年新增污水处理能力1200万立方米/日 新增和改造污水收集管网4.5万公里,【三部门：到2025年新增污水处理能力1200万立方米/日 新增和改造污水收集管网4.5万公里】财联社8月24日电，国家发改委等三部门印发《环境基础设施建设水平提升行动（2023—2025年）》的通知。通知提出，到2025年，环境基础设施处理处置能力和水平显著提升，新增污水处理能力1200万立方米/日，新增和改造污水收集管网4.5万公里，新建、改建和扩建再生水生产能力不少于1000万立方米/日;全国生活垃圾分类收运能力达到70万吨/日以上，全国城镇生活垃圾焚烧处理能力达到80万吨/日以上。固体废弃物处置及综合利用能力和规模显著提升，危险废物处置能力充分保障，县级以上城市建成区医疗废物全部实现无,2023-08-24
2023-08-24 09:12:49,金浦钛业：8月25日起上调钛白粉产品售价,【金浦钛业：8月25日起上调钛白粉产品售价】财联社8月24日电，金浦钛业公告，自2023年8月25日起，公司金红石型钛白粉销售价格在原价基础上，对国内各类客户上调800元人民币/吨，对国际各类客户上调100美元/吨；锐钛型钛白粉销售价格在原价基础上，对国内各类客户上调1000元人民币/吨，对国际各类客户上调130美元/吨。,2023-08-24
2023-08-24 09:00:10,五连板正和生态：目前不涉及核废水处理的相关业务,【五连板正和生态：目前不涉及核废水处理的相关业务】财联社8月24日电，五连板正和生态发布风险提示公告，公司主营业务没有发生变化，目前不涉及核废水处理的相关业务。,2023-08-24
2023-08-24 08:59:51,中国中免：上半年净利润同比下降1.83%,【中国中免：上半年净利润同比下降1.83%】财联社8月24日电，中国中免公布半年报，上半年实现营业收入约358.58亿元，同比增长29.68%；净利润约38.66亿元，同比下降1.83%；基本每股收益约1.87元。,2023-08-24
2023-08-24 08:34:28,网易第二季度净利润90亿元 同比增长67%,财联社8月24日电，网易2023年二季度营收240亿元，市场预期247.75亿元，上年同期232亿元；非公认会计准则下归属于公司股东的持续经营净利润90亿元，去年同期54亿元，同比增长67%。,2023-08-24
2023-08-24 08:31:29,美团第二季度营收679.6亿元 同比增长33.4%,"美团上半年营收1,265.8亿元人民币，上半年净利润80.5亿元。",2023-08-24
2023-08-24 08:28:38,日本东电公司负责人：启动核污水排海是个重大里程碑 这一过程将持续约30年,【日本东电公司负责人：启动核污水排海是个重大里程碑 这一过程将持续约30年】财联社8月24日电，东京电力公司召开记者会，宣布于当日下午1时启动福岛核污染水排海。该公司表示，启动排海是一个重大的里程碑，核污水的排海工作会24小时运行，这一过程将持续约30年。,2023-08-24
2023-08-24 08:28:08,晶科能源：拟以3亿元-6亿元回购公司股份,【晶科能源：拟以3亿元-6亿元回购公司股份】财联社8月24日电，晶科能源公告，拟以3亿元-6亿元回购公司股份，回购价格不超过18.85元/股。,2023-08-24
2023-08-24 08:24:05,记者探访：福岛第一核电站周围环境辐射值超标约9倍,【记者探访：福岛第一核电站周围环境辐射值超标约9倍】财联社8月24日电，福岛核事故后，福岛第一核电站周边地区的环境辐射值就一直处于超标的状态。就在日本24日启动核污染水排海前几个小时，总台报道员在福岛第一核电站周围测到的环境辐射值超标约9倍。,2023-08-24
2023-08-24 08:12:07,中信证券：8月28日起将在投资者原有佣金基础上统一下调0.00146%,【中信证券：投资者原有交易佣金统一下调0.00146%】今日，中信证券发布了《关于降低投资者交易佣金的告知函》。通知称，根据证监会发布的《沪深北交易所进一步降低证券交易经手费》及沪深北交易所发布的《关于下调股票交易经手费收费标准的通知》，中信证券积极响应证监会及沪深北交易所文件精神，切实将证券交易经手费下降的政策效果传导至广大投资者。通知表示，自2023年8月28日起，公司将对存量投资者交易佣金（含规费，下同）统一进行下调，其中沪深交易所，涉及A股、B股、存托凭证品种的交易佣金，将在投资者原有佣金基础上统一下调0.00146%；沪深A股、沪市B股大宗交易佣金将在投资者原有佣金基础上统一下调0.,2023-08-24
2023-08-24 08:11:07,财政部：全面落实对小微企业的精准税费优惠政策 不得以任何理由削弱政策力度,财政部发布关于加强财税支持政策落实，促进中小企业高质量发展的通知，要加强涉企收费管理，规范行业协会和中介机构收费项目，严禁乱收费、乱罚款、乱摊派。,2023-08-24
2023-08-24 08:10:01,香港恒生指数收涨2.05% 恒生科技指数涨3.72%,香港恒生指数收涨2.05%，恒生科技指数涨3.72%。零跑汽车、碧桂园服务、东方甄选均涨超10%，美团涨超7%，新东方、联想集团涨超5%；知乎跌超10%。,2023-08-24
2023-08-24 08:09:25,阳光电源：上半年净利润同比增长384%,【阳光电源：上半年净利润同比增长384%】财联社8月24日电，阳光电源披露半年报，公司上半年实现营业收入286.22亿元，同比增长133.06%；净利润43.54亿元，同比增长383.55%；基本每股收益2.93元。小财注：Q1净利15.08亿元，据此计算，Q2净利28.46亿元，环比增长88.73%。,2023-08-24
2023-08-24 08:00:09,英伟达美股盘前涨超8% 第二财季业绩全线远超预期,【英伟达美股盘前涨超8% 第二财季业绩全线远超预期】财联社8月24日电，英伟达美股盘前涨超8%，股价升至创纪录新高的509美元。英伟达第二财季营收135.1亿美元，远高于市场预期；净利润为61.88亿美元，同比增长843%，环比增长203%。公司批准额外的250亿美元股票回购计划。,2023-08-24
2023-08-24 07:52:09,金砖国家宣布扩员 6国获邀加入金砖国家合作机制,【金砖国家宣布扩员】当地时间8月24日上午，金砖国家领导人第十五次会晤召开特别记者会，宣布金砖国家扩员。,2023-08-24
2023-08-24 07:36:24,山西汾酒：上半年净利约67.67亿元 同比增长35%,【山西汾酒：上半年净利约67.67亿元 同比增长35%】财联社8月24日电，山西汾酒发布半年报，上半年实现实现营业收入约190.11亿元，同比增长23.98%；净利润约67.67亿元，同比增长35%；基本每股收益约5.56元。小财注：Q1净利48.19亿元，据此计算，Q2净利19.48亿元，环比下降59.58%。,2023-08-24
2023-08-24 07:31:28,周四投资舆情热点,"【周四投资舆情热点】
1）影视传媒：暑期档总票房打破纪录，其中4部电影票房超20亿，今年年度票房突破400亿元大关。
2）防核污水：日本福岛第一核电站启动核污染水排海，中国即日起全面暂停进口原产地为日本的水产品。
3）跨境支付：7月人民币全球支付占比突破3%；巴西建议阿根廷出口时用人民币作为支付保证。
4）证券：优质券商资本约束有望放宽，有利于提升头部公司ROE水平。",2023-08-24
2023-08-24 07:22:02,8月24日涨停分析,【8月24日涨停分析】今日共33股涨停，连板股总数8只，17股封板未遂，封板率为66%（不含ST股、退市股及未开板新股）。个股方面，环保股正和生态5板、中电环保创业板2板、实朴检测创业板2板，数据要素板块新炬网络4板、威派格2板，核废水概念股江盐集团3板、大湖股份2板、百洋股份2板，影视股幸福蓝海创业板首板，金融科技概念股创识科技创业板首板。今日收涨个股2215只，收跌个股2658只。,2023-08-24
