时间,标题,简讯,date
2023-11-16 09:30:56,北向资金今日净卖出21.9亿元 隆基绿能遭净卖出4.47亿元,北向资金今日净卖出21.9亿元。隆基绿能、平安银行、赛力斯分别获净卖出4.47亿元、3.02亿元、2.28亿元。立讯精密净买入额居首，金额为2.84亿元。,2023-11-16
2023-11-16 09:14:23,国家金融监督管理总局印发信托公司监管评级与分级分类监管暂行办法,国家金融监督管理总局发布关于印发信托公司监管评级与分级分类监管暂行办法的通知。,2023-11-16
2023-11-16 08:59:48,永聚煤业相关负责人已被警方控制,【永聚煤业相关负责人已被警方控制】16日6时50分左右，山西省吕梁市离石区永聚煤业联建楼发生火灾，目前已有26人遇难。据救援现场指挥部，永聚煤业火灾事故多名责任人已被控制，相关责任人正在接受调查。,2023-11-16
2023-11-16 08:59:43,7天6板西陇科学：公司未生产、销售光刻胶,【7天6板西陇科学：公司未生产、销售光刻胶】财联社11月16日电，西陇科学发布股票异动公告，公司未生产、销售光刻胶，公司生产和销售的光刻胶配套试剂为清洗剂、显影液、剥离液等。目前上述产品用于光刻胶配套的销售收入占公司营业收入的比例较低。,2023-11-16
2023-11-16 08:48:21,北方华创：拟无偿划转国有股权 控股股东拟发生变更,【北方华创：拟无偿划转国有股权 控股股东拟发生变更】财联社11月16日电，北方华创公告，公司于当日收到公司实际控制人北京电控出具的《关于无偿划转北方华创科技集团股份有限公司股权事项的通知》，将七星集团持有的北方华创33.61%的股权无偿划转至北京电控。本次股权无偿划转完成后，公司控股股东将由七星集团变更为北京电控，实际控制人仍为北京电控。,2023-11-16
2023-11-16 08:47:21,习近平对山西吕梁市永聚煤矿一办公楼火灾事故作出重要指示,习近平对山西吕梁市永聚煤矿一办公楼火灾事故作出重要指示，要求全力救治受伤人员，深入排查重点行业领域风险隐患，切实维护人民群众生命财产安全和社会大局稳定。,2023-11-16
2023-11-16 08:39:15,黑石集团有意出售11个物流园：总价超百亿元 已有意向买家,【黑石集团有意出售11个物流园：总价超百亿元 已有意向买家】财联社11月16日电，从不愿具名的消息人士处获悉，全球最大的另类资产管理公司黑石集团正在抛售位于中国的物流资产包，总价超百亿元人民币，据了解，资产包已经有意向买家。,2023-11-16
2023-11-16 08:29:15,商务部：进一步做好外商投资企业适用国家鼓励发展的外商投资项目进口设备减免税政策落实工作,商务部办公厅发布关于进一步做好外商投资企业适用国家鼓励发展的外商投资项目进口设备减免税政策落实工作的通知。,2023-11-16
2023-11-16 08:09:31,香港恒生指数收跌1.36% 恒生科技指数跌1.85%,香港恒生指数收跌1.36%，恒生科技指数跌1.85%。小米集团跌超6%，理想汽车跌超4%，小鹏汽车、安踏体育跌近4%；华晨中国涨超5%，京东集团涨近2%。,2023-11-16
2023-11-16 08:09:26,第九批国家组织药品集采中选结果正式公布 将于明年3月落地实施,【第九批国家组织药品集采中选结果正式公布 将于明年3月落地实施】财联社11月16日电，国家组织药品联合采购办公室发布公告，正式公布第九批国家组织药品集采中选的41种药品和价格，本次集采中选结果将于2024年3月实施，具体执行日期以各地发布通知为准。本次集采涵盖感染、肿瘤、心脑血管疾病、胃肠道疾病、精神疾病等常见病、慢性病用药，以及急抢救药、短缺药等重点药品。治疗多发性骨髓瘤的来那度胺胶囊2023年5月专利到期后及时纳入集采，每粒从平均约200元降至15元，每月可节约药费3880元左右，患者负担明显减轻。治疗胃肠道疾病的雷贝拉唑口服常释剂型、艾司奥美拉唑镁肠溶干混悬剂等3个国家重点监控合理用药药,2023-11-16
2023-11-16 08:03:33,商务部：四季度推动出台促进新能源汽车贸易合作、提升加工贸易发展水平等专项政策,【商务部：四季度推动出台促进新能源汽车贸易合作、提升加工贸易发展水平等专项政策】财联社11月16日电，在商务部11月16日召开的11月第3次例行新闻发布会上，新闻发言人表示，商务部四季度会抓好三个提升，进一步推动外贸促稳提质：一是提升企业拓市场服务的力度，充分发挥展会平台的贸易促进作用，加大对企业参加境内外展会的支持，便利跨境商务人员往来，保障外贸货物高效畅通运输；二是提升外贸创新发展水平，推动出台促进新能源汽车贸易合作、提升加工贸易发展水平等专项政策，开展跨境电商综试区考核评估，充分发挥优秀跨境电商综试区的示范引领作用；三是提升外贸金融服务水平，推动加大进出口信贷支持，加大对中小微外贸企业的,2023-11-16
2023-11-16 07:59:13,周四投资舆情热点,"【周四投资舆情热点】
1）半导体芯片：台积电CoWoS先进封装需求迎来爆发，英伟达等客户大幅追单，明年月产能拟拉升120%。
2）抖音：抖音于近期测试视频内容付费服务，即用户在平台观看部分视频内容时，需要付费才能解锁全部的内容。
3）HBM：三星和SK海力士正准备将HBM产量提高至2.5倍，SK预计到2030年公司HBM出货量将达到每年1亿颗。
4）影视版权：抖音测试视频内容付费模式，影视版权及IP资产有望迎来价值重估。
5）北斗导航：北斗系统正式加入国际民航组织标准，有利于推进北斗系统在民航领域的市场化、产业化、国际化应用。",2023-11-16
2023-11-16 07:17:45,11月16日涨停分析,【11月16日涨停分析】今日共32股涨停，连板股总数9只，15股封板未遂，封板率为68%（不含ST股、退市股及未开板新股）。个股方面，芯片产业链的西陇科学7天6板、银宝山新5板、元成股份4天3板、朗迪集团3天2板，光伏板块龙高股份5板，外贸出口概念股三柏硕5板，华为产业链的多伦科技4板，算力板块恒为科技6天4板、统一股份6天4板，北斗导航概念股南京熊猫3板，抖音概念股佳云科技创业板首板。今日收涨个股937只，收跌个股3971只。,2023-11-16
2023-11-16 07:03:44,国务院国资委原副部长级干部骆玉林被开除党籍,"【国务院国资委原副部长级干部骆玉林被开除党籍】财联社11月16日电，经中共中央批准，中央纪委国家监委对国务院国资委原副部长级干部骆玉林严重违纪违法问题进行了立案审查调查。

经查，骆玉林丧失理想信念，背弃初心使命，对党不忠诚不老实，表里不一，搞两面派，做两面人；违反中央八项规定精神，违规接受私营企业主安排的宴请和旅游活动；违反组织原则，隐瞒不报个人有关事项，在干部选拔任用中为他人谋取利益并收受财物；私欲膨胀，唯利是图，长期违规收受礼品礼金，违规从事营利活动，向多名私营企业主放贷获取大额回报，大搞权色、钱色交易；生活腐化堕落，家风不正，治家不严，对家人失管失教；毫无纪法底线，公器私用，以权谋私，",2023-11-16
2023-11-16 07:03:27,国家开发银行原党委委员、副行长周清玉被开除党籍,"【国家开发银行原党委委员、副行长周清玉被开除党籍】财联社11月16日电，经中共中央批准，中央纪委国家监委对国家开发银行原党委委员、副行长周清玉严重违纪违法问题进行了立案审查调查。

经查，周清玉丧失理想信念，背离党性原则，弃守全面从严治党监督责任，大肆滥用监督执纪权，搞迷信活动，私藏、阅看有严重政治问题的书刊；无视中央八项规定精神，接受私营企业主安排的宴请，违规出入私人会所，借用管理服务对象车辆；违反组织原则，大肆干预、插手金融机构职工录用工作，严重破坏选人用人制度；廉洁底线失守，利用职权为他人谋利，特定关系人收受对方财物，大肆收受礼品、礼金，违规拥有非上市公司股份，搞权色、钱色交易；违规干预",2023-11-16
2023-11-16 07:03:03,收评：创业板指低开低走跌1.85% 抖音概念股逆势爆发,【收评：创业板指低开低走跌1.85% 抖音概念股逆势爆发】财联社11月16日电，大盘全天震荡调整，创业板指领跌。盘面上，抖音概念股午后大涨，佳云科技、广博股份、引力传媒、丽尚国潮等近10股涨停。华为昇腾概念股震荡走强，恒为科技、多伦科技涨停。特斯拉概念股表现活跃，威唐工业涨超10%，铭科精技一度涨停。下跌方面，光伏等新能源赛道股陷入调整，中信博等跌超5%。算力概念股冲高回落，高新发展、利通电子等大跌。总体上个股跌多涨少，全市场超4100只个股下跌。沪深两市今日成交额8507亿，较上个交易日缩量1393亿。板块方面，传媒、抖音概念、华为昇腾、旅游等板块涨幅居前，BC电池、CRO、次新股、锂矿等板,2023-11-16
2023-11-16 06:30:06,韩国考虑对非法卖空者实施长达10年的股票交易禁令,【韩国考虑对非法卖空者实施长达10年的股票交易禁令】财联社11月16日电，韩国金融监督院11月16日表示，韩国正在考虑一系列惩罚非法卖空者的方案，包括禁止他们交易股票长达10年。当局还在寻求限制韩国企业任命非法卖空者担任高管。,2023-11-16
2023-11-16 05:35:10,抖音测试视频内容付费 相关概念股持续走强,【抖音测试视频内容付费 相关概念股持续走强】财联社11月16日电，丽尚国潮午后封板，佳云科技、广博股份、省广集团、中信出版、中国科传等此前涨停，天龙集团、福石控股、因赛集团等涨幅居前。消息面上，抖音于近期测试视频内容付费服务，即用户在平台观看部分视频内容时，需要付费才能解锁全部的内容。,2023-11-16
2023-11-16 05:33:57,习近平：中美两国将推出更多便利人员往来措施,习近平：我今天同拜登总统达成重要共识，两国将推出更多便利人员往来、促进人文交流的措施，包括增加中美客运直航航班，举办中美旅游高层对话，优化签证申请流程等。我们期待着两国人民多走动、多来往、多交流，共同续写新时代两国人民友好的故事！,2023-11-16
2023-11-16 05:22:54,特斯拉皮卡概念持续走高 威唐工业20CM2连板,【特斯拉皮卡概念持续走高 威唐工业20CM2连板】财联社11月16日电，特斯拉皮卡概念持续走高，威唐工业20CM2连板，嵘泰股份冲击涨停，博俊科技、三联锻造、美利信、无锡振华等纷纷冲高。,2023-11-16
2023-11-16 05:18:04,知情人士称国通信托或“踩雷”私募造假,【知情人士称国通信托或“踩雷”私募造假】“杭州30亿量化跑路”事件持续发酵，又有机构涉及。蓝鲸记者从知情人处获悉，国通信托旗下产品或“踩雷”，涉及规模或达30亿元。资料显示，国通信托原为方正东亚信托，截至2022年底，国通信托总资产92亿元，存续信托资产规模1453亿元。（蓝鲸记者 闫军）,2023-11-16
