序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业,date
1,603051,鹿山新材,-10.002188682556152,41.12,212340757,2012375997.6,3837277279.9999995,-27.364360809326172,10.41573429107666,4364188,142552,191861806,1,3,塑料制品,2023-07-17
2,000860,顺鑫农业,-9.996816635131836,28.27,671011680,20969752779.03,20969752863.84,15.989279747009277,3.193706512451172,5940375,143521,350676120,1,64,酿酒行业,2023-07-17
3,605333,沪光股份,-10.022909164428711,15.71,169118009,1545016932.51,6861752216.8,-68.86100769042969,10.841522216796875,9143220,130618,50366260,1,4,汽车零部,2023-07-17
4,688670,金迪克,-20.005451202392578,29.35,164747304,1259220219.75,3615920000.0,24.871408462524414,12.939727783203125,15473907,134121,521078589,1,21,化学制药,2023-07-17
5,603567,珍宝岛,-9.968050956726074,14.09,299243888,13272267011.28,13272267124.0,13.055570602416992,2.2496609687805176,20122689,132947,346347129,1,7,中药,2023-07-17
6,603629,利通电子,-9.992132186889648,22.88,585031488,5829824000.0,5829824000.0,100.02023315429688,9.602396011352539,24229187,141549,92771535,1,1,消费电子,2023-07-17
7,002877,智能自控,-9.975469589233398,11.01,418443104,2295205859.64,3661655242.08,66.8489761352539,18.163108825683594,28786746,130136,494345816,1,13,仪器仪表,2023-07-17
8,002665,首航高科,-10.081744194030762,3.3,514409984,8123101813.2,8263011662.4,-19.649574279785156,6.276732444763184,29208771,132551,134346563,1,2,电源设备,2023-07-17
9,603127,昭衍新药,-9.98779010772705,36.86,305314240,16600043537.619999,19743847865.92,26.288724899291992,1.8248252868652344,31734211,111118,684566627,1,0,医疗服务,2023-07-17
10,001266,宏英智能,-9.9943208694458,31.7,261364013,937039320.0,3259267200.0,138.88568115234375,27.277780532836914,66740799,101024,50932390,1,0,仪器仪表,2023-07-17
