序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率
1,603119,N浙荣,35.37,130.87,20.05,505082,1561753667.0,72.85,37.54,26.38,28.88,15.32,,73.63,79.87,6.46
2,301371,N敷尔佳,70.7,26.98,15.02,278191,2015432017.69,19.83,80.04,69.0,80.0,55.68,,73.92,44.38,5.64
3,688646,C逸飞,48.67,-8.98,-4.8,67526,333821406.0,5.29,51.41,48.58,51.0,53.47,0.56,37.75,133.46,2.95
4,301519,C舜禹,34.56,-10.7,-4.14,234461,874834162.15,15.58,40.33,34.3,37.5,38.7,0.86,60.06,355.71,3.91
5,688651,C盛邦,48.0,-3.61,-1.8,54097,263597747.0,5.3,50.22,47.58,49.87,49.8,0.59,34.29,-128.08,3.87
6,688612,C威迈,49.44,-0.26,-0.13,95830,471227869.0,5.49,50.75,48.03,48.03,49.57,0.51,30.6,59.02,7.04
7,301172,C君逸,43.91,-12.16,-6.08,179476,845129291.49,14.96,51.3,43.82,48.7,49.99,0.86,64.87,-314.59,3.87
8,301515,港通医疗,35.37,-10.23,-4.03,109127,401624266.32,9.37,38.95,35.26,38.8,39.4,0.79,46.03,145.0,2.83
9,301446,福事特,36.75,-8.1,-3.24,76311,286826772.65,12.0,40.8,36.0,40.78,39.99,0.77,38.16,33.03,2.83
10,688450,光格科技,44.48,-5.66,-2.67,35135,158568314.0,5.68,46.97,44.29,46.97,47.15,0.97,23.75,-67.0,2.83
11,301468,博盈特焊,38.43,-5.83,-2.38,71304,276146460.69,4.36,39.88,38.1,39.66,40.81,0.99,22.78,41.7,2.3
12,301499,维科精密,42.44,-5.69,-2.56,193917,849860396.41,9.42,45.99,41.75,42.8,45.0,0.9,59.15,149.93,4.95
13,688602,康鹏科技,10.85,-0.46,-0.05,71063,76970615.0,1.47,10.91,10.75,10.9,10.9,0.47,8.39,37.81,2.07
14,301512,智信精密,63.46,-3.92,-2.59,38015,242042838.1,5.95,66.45,62.52,66.45,66.05,0.68,28.51,-70.52,3.53
15,688610,埃科光电,63.77,0.35,0.22,5276,33769171.0,3.15,65.28,63.28,63.56,63.55,0.35,3.9,371.26,2.92
16,688563,航材股份,59.41,-1.12,-0.67,33329,198405996.0,1.3,60.09,59.31,60.09,60.08,0.71,4.89,55.26,2.78
17,301505,苏州规划,68.88,-3.96,-2.84,122908,858273044.01,12.53,74.63,65.64,68.55,71.72,0.89,62.34,388.71,6.29
18,688627,精智达,90.3,9.99,8.2,32990,285493986.0,19.61,94.68,78.58,81.53,82.1,0.77,16.53,-620.28,5.35
19,301503,智迪科技,34.63,2.97,1.0,57338,196709308.97,4.85,35.08,33.45,33.7,33.63,1.61,28.67,70.07,2.96
20,301329,信音电子,24.91,9.21,2.1,221797,540721025.15,12.01,25.97,23.23,23.23,22.81,2.92,54.38,58.48,2.82
21,301456,盘古智能,39.1,3.58,1.35,85185,328139217.31,6.75,39.6,37.05,37.6,37.75,1.62,24.62,49.96,2.9
22,301272,英华特,66.19,0.65,0.43,17277,112593981.22,4.27,66.44,63.63,65.95,65.76,0.68,12.45,129.35,4.08
23,688638,誉辰智能,69.35,0.12,0.08,3124,21713321.0,1.17,69.86,69.05,69.29,69.27,0.75,3.49,-190.73,2.63
24,301393,昊帆生物,85.18,-2.32,-2.02,27945,241945722.89,5.64,89.42,84.5,85.92,87.2,1.26,11.94,63.38,4.23
25,301381,赛维时代,40.62,-11.98,-5.53,142905,600583485.3,11.09,45.72,40.6,44.81,46.15,0.86,45.5,78.18,7.29
26,301370,国科恒泰,18.52,-2.83,-0.54,174075,327532572.82,3.99,19.22,18.46,18.81,19.06,1.55,26.28,82.73,3.75
27,688603,天承科技,89.76,-0.03,-0.03,5711,50897762.0,7.8,93.0,86.0,88.87,89.79,0.84,4.75,114.67,4.99
28,301261,恒工精密,43.23,0.96,0.41,36923,155843788.48,4.95,43.33,41.21,42.82,42.82,1.38,18.66,31.48,2.69
29,301486,致尚科技,51.48,1.72,0.87,55683,284178424.78,6.86,52.57,49.1,51.0,50.61,1.17,18.25,99.07,2.69
30,301292,海科新源,24.45,0.16,0.04,42086,102490447.57,2.01,24.65,24.16,24.28,24.41,0.87,9.81,43.64,1.74
31,301202,朗威股份,34.09,2.99,0.99,80290,268934011.22,5.92,34.32,32.36,33.59,33.1,1.86,24.85,153.4,3.93
32,301488,豪恩汽电,90.06,-8.1,-7.94,69843,653049263.45,7.45,97.36,90.06,92.99,98.0,0.84,35.11,136.36,6.9
33,301395,仁信新材,23.03,-0.3,-0.07,13939,31990705.27,0.69,23.07,22.91,23.07,23.1,0.82,4.06,54.05,2.07
34,688582,芯动联科,38.86,-3.02,-1.21,31729,124535420.0,4.67,40.27,38.4,40.0,40.07,1.06,6.89,190.09,7.73
35,301291,明阳电气,31.56,-1.84,-0.59,39128,124143990.64,1.93,32.12,31.5,31.97,32.15,0.94,5.76,55.52,2.6
36,301210,金杨股份,44.28,-0.76,-0.34,6330,28027004.28,1.32,44.67,44.08,44.67,44.62,0.68,3.85,67.04,2.06
37,688429,时创能源,24.5,-2.0,-0.5,11284,27812924.0,2.4,25.0,24.4,24.89,25.0,0.65,3.79,38.13,4.55
38,688631,莱斯信息,34.61,0.41,0.14,11164,38641846.0,3.57,35.24,34.01,34.43,34.47,1.15,3.33,-44.35,3.33
39,301397,溯联股份,45.9,-3.77,-1.8,32467,149197633.52,3.23,46.98,45.44,46.55,47.7,0.68,13.69,37.53,2.5
40,301295,美硕科技,37.07,-1.62,-0.61,18881,70018363.17,2.18,37.65,36.83,37.35,37.68,0.64,11.06,55.03,2.85
41,688629,华丰科技,20.77,2.77,0.56,103941,213883857.0,7.87,21.3,19.71,20.01,20.21,1.15,18.98,205.26,6.65
42,688620,安凯微,13.79,-1.01,-0.14,57789,79278271.0,2.15,13.92,13.62,13.88,13.93,0.75,6.86,349.35,3.58
43,301170,锡南科技,36.02,-2.17,-0.8,32975,119316150.23,3.8,36.98,35.58,36.35,36.82,0.73,13.91,43.24,2.32
44,300804,广康生化,34.81,-1.25,-0.44,10877,37845398.7,2.16,35.24,34.48,35.24,35.25,0.9,6.4,29.63,1.94
45,688543,国科军工,51.45,0.04,0.02,39585,205709628.0,3.31,53.0,51.3,52.05,51.43,1.06,11.94,199.73,3.54
46,301376,致欧科技,26.66,-2.56,-0.7,62097,168208655.69,9.32,28.67,26.12,27.15,27.36,0.64,18.56,30.63,3.84
47,301315,威士顿,76.8,16.21,10.71,153518,1100431330.98,23.24,79.31,63.95,63.95,66.09,1.6,73.58,190.79,7.03
48,688443,智翔金泰-U,31.2,-2.59,-0.83,48432,152734379.0,5.87,32.61,30.73,31.88,32.03,1.04,5.85,-14.23,3.57
49,301262,海看股份,31.95,0.25,0.08,94533,296648334.84,4.02,31.97,30.69,31.5,31.87,0.84,24.14,31.06,3.83
50,688334,西高院,17.07,-0.47,-0.08,19325,33007292.0,1.05,17.19,17.01,17.16,17.15,0.52,2.71,38.79,1.83
51,301448,开创电气,29.27,-1.84,-0.55,16226,47518433.0,2.45,29.79,29.06,29.79,29.82,0.75,8.11,49.17,3.67
52,301225,恒勃股份,35.47,-3.09,-1.13,44277,158764426.39,4.43,36.95,35.33,36.0,36.6,0.89,18.73,32.13,2.73
53,301232,飞沃科技,57.87,-1.43,-0.84,5092,29498869.62,1.67,58.68,57.7,58.48,58.71,0.74,3.99,37.46,2.01
54,301287,康力源,42.8,-2.57,-1.13,40567,172592200.44,4.19,43.66,41.82,42.52,43.93,0.96,24.34,33.71,2.83
55,301355,南王科技,17.8,-2.31,-0.42,39332,70500776.63,2.47,18.18,17.73,18.1,18.22,0.74,8.5,49.98,2.29
56,688472,阿特斯,15.27,-2.74,-0.43,210835,322503240.0,3.38,15.63,15.1,15.63,15.7,0.77,4.99,15.33,3.08
57,301383,天键股份,37.5,-1.6,-0.61,19738,74302224.12,3.73,38.7,37.28,38.7,38.11,0.77,7.16,57.06,2.5
58,301320,豪江智能,21.48,-1.87,-0.41,44575,95533955.51,2.6,21.77,21.2,21.68,21.89,0.67,10.37,75.49,3.76
59,688623,双元科技,87.0,-1.08,-0.95,4181,36446494.0,1.35,87.97,86.78,87.97,87.95,1.16,3.11,49.6,2.48
60,688576,西山科技,109.4,-4.32,-4.94,7718,85757299.0,6.03,114.99,108.1,114.02,114.34,2.09,6.5,60.53,2.81
61,301323,新莱福,43.04,2.21,0.93,52383,222550342.99,6.84,43.77,40.89,41.71,42.11,1.39,22.4,39.94,2.4
62,688570,天玛智控,26.23,-0.76,-0.2,14717,38697769.0,0.87,26.44,26.21,26.44,26.43,0.69,2.71,30.39,2.97
63,688523,航天环宇,26.0,-2.18,-0.58,14310,37288690.0,2.82,26.56,25.81,26.36,26.58,0.78,4.23,474.58,6.86
64,301310,鑫宏业,61.67,0.93,0.57,11631,71325151.88,3.78,62.49,60.18,61.8,61.1,0.79,5.26,41.79,2.76
65,688593,新相微,16.67,-1.65,-0.28,28162,47258843.0,2.6,17.1,16.66,17.0,16.95,0.92,4.12,95.41,4.83
66,001373,翔腾新材,42.86,-3.56,-1.58,29905,129066890.04,4.32,44.42,42.5,44.08,44.44,0.6,17.42,72.79,3.36
67,301353,普莱得,35.0,-2.78,-1.0,16455,57841330.74,3.56,35.93,34.65,35.93,36.0,0.82,8.66,43.39,2.21
68,301337,亚华电子,33.76,-1.08,-0.37,9133,30804733.44,1.7,34.14,33.56,34.01,34.13,0.66,3.7,213.95,3.14
69,301252,同星科技,47.16,1.86,0.86,30317,140557979.0,4.58,47.27,45.15,46.13,46.3,0.94,15.16,36.67,3.58
70,688562,航天软件,27.52,0.07,0.02,31621,86982464.0,2.47,27.88,27.2,27.88,27.5,1.06,4.81,-4521.08,6.24
71,001282,三联锻造,30.11,-1.83,-0.56,18327,55493740.26,2.28,30.73,30.03,30.57,30.67,1.01,6.59,44.66,2.56
72,301399,英特科技,50.13,-0.22,-0.11,18460,91042494.27,4.06,50.52,48.48,50.41,50.24,1.26,8.85,85.1,3.44
73,301305,朗坤环境,21.81,-2.76,-0.62,43047,94205073.43,2.67,22.28,21.68,22.25,22.43,0.57,7.69,31.34,1.6
74,688458,美芯晟,76.39,1.07,0.81,6309,48475512.0,3.94,77.98,75.0,75.58,75.58,1.0,3.5,-338.57,2.99
75,001324,长青科技,21.0,-1.45,-0.31,20719,43357748.53,2.72,21.3,20.72,21.18,21.31,0.94,6.13,55.78,2.74
76,688581,安杰思,107.28,-6.26,-7.16,7151,77840086.0,6.68,113.75,106.1,113.75,114.44,2.14,5.53,45.35,3.07
77,688361,中科飞测-U,74.9,2.06,1.51,21779,162957587.0,4.96,76.29,72.65,73.39,73.39,0.99,3.63,191.03,10.42
78,301428,世纪恒通,36.09,-1.12,-0.41,18234,65439797.85,2.93,36.55,35.48,36.37,36.5,0.73,7.79,50.07,3.03
79,688552,航天南湖,24.34,-0.81,-0.2,16224,39557272.0,0.81,24.52,24.32,24.51,24.54,0.65,2.12,-120.19,3.22
80,301332,德尔玛,15.2,-2.44,-0.38,130838,199929447.3,4.24,15.68,15.02,15.39,15.58,0.74,15.48,75.49,2.6
81,301382,蜂助手,37.3,-0.85,-0.32,21708,80397887.79,2.13,37.5,36.7,37.31,37.62,0.6,6.0,53.8,4.03
82,688512,慧智微-U,19.25,0.16,0.03,9521,18293253.0,1.72,19.43,19.1,19.31,19.22,0.44,1.96,-33.2,3.59
83,001380,华纬科技,32.58,1.09,0.35,15825,51640587.26,2.95,33.03,32.08,32.18,32.23,0.65,5.01,38.68,2.99
84,301325,曼恩斯特,94.97,-0.38,-0.36,8678,82608270.04,1.52,96.01,94.56,95.5,95.33,0.71,3.5,42.36,4.19
