序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,date
1,603193,N润本,22.08,27.04,4.7,377207,894301154.0,26.93,26.68,22.0,22.0,17.38,,64.08,37.39,4.92,2023-10-17
2,301517,N陕华达,74.2,176.14,47.33,166246,1221440136.51,73.69,85.8,66.0,66.0,26.87,,78.44,87.55,6.19,2023-10-17
3,301559,C中集环,21.79,-5.22,-1.2,171657,376966885.53,3.91,22.55,21.65,22.11,22.99,0.72,20.31,18.24,2.66,2023-10-17
4,688657,浩辰软件,83.0,0.69,0.57,12623,103077235.0,3.93,83.47,80.23,81.7,82.43,0.53,13.33,71.12,2.71,2023-10-17
5,688719,爱科赛博,65.76,6.75,4.16,56609,367214856.0,9.12,66.68,61.06,61.06,61.6,1.42,31.19,49.91,3.11,2023-10-17
6,301558,三态股份,13.88,6.77,0.88,470311,638480603.03,12.08,14.3,12.73,12.75,13.0,1.23,42.28,67.19,8.09,2023-10-17
7,603276,恒兴新材,25.58,-0.04,-0.01,167497,436016835.0,10.75,27.28,24.53,25.0,25.59,2.75,44.06,46.25,2.37,2023-10-17
8,301520,万邦医药,63.43,0.49,0.31,29207,182243628.38,3.68,63.5,61.18,62.48,63.12,0.59,18.48,39.28,3.0,2023-10-17
9,301500,飞南资源,23.77,-2.18,-0.53,55628,132072059.08,3.0,24.27,23.54,24.27,24.3,1.01,14.81,39.27,2.2,2023-10-17
10,688716,中研股份,25.85,0.62,0.16,13687,35042853.0,2.14,25.87,25.32,25.34,25.69,0.72,5.01,66.59,2.73,2023-10-17
11,301548,崇德科技,58.83,-3.08,-1.87,17087,100691676.95,3.64,60.6,58.39,60.6,60.7,0.97,12.01,35.08,2.55,2023-10-17
