代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,date
bj430017,星昊医药,10.29,0.09,0.882,10.28,10.29,10.2,10.21,10.32,10.19,625859.0,6423355.0,2023-09-01
bj430047,诺思兰德,9.75,0.45,4.839,9.75,9.76,9.3,9.4,9.87,9.33,810872.0,7840760.0,2023-09-01
bj430090,同辉信息,2.55,0.01,0.394,2.55,2.56,2.54,2.53,2.56,2.53,767805.0,1954100.0,2023-09-01
bj430139,华岭股份,11.1,0.1,0.909,11.08,11.1,11.0,11.11,11.55,10.92,2007534.0,22609261.0,2023-09-01
bj430198,微创光电,4.1,0.01,0.244,4.08,4.1,4.09,4.06,4.1,4.03,89865.0,365563.0,2023-09-01
bj430300,辰光医疗,7.74,0.1,1.309,7.73,7.74,7.64,7.53,7.9,7.53,618021.0,4800262.0,2023-09-01
bj430418,苏轴股份,16.66,0.72,4.517,16.66,16.67,15.94,15.8,16.75,15.64,1827576.0,30003879.0,2023-09-01
bj430425,乐创技术,12.15,0.61,5.286,12.15,12.19,11.54,11.5,12.79,11.38,476100.0,5852408.0,2023-09-01
bj430476,海能技术,12.45,0.66,5.598,12.45,12.46,11.79,11.79,12.45,11.79,257293.0,3142076.0,2023-09-01
bj430478,峆一药业,15.42,0.56,3.769,15.39,15.42,14.86,14.8,15.69,14.8,230957.0,3544300.0,2023-09-01
bj430489,佳先股份,4.74,0.09,1.935,4.72,4.74,4.65,4.65,4.79,4.65,241461.0,1141174.0,2023-09-01
bj430510,丰光精密,7.11,0.06,0.851,7.1,7.11,7.05,7.1,7.23,7.1,62970.0,450727.0,2023-09-01
bj430556,雅达股份,3.46,0.04,1.17,3.45,3.46,3.42,3.43,3.48,3.37,857317.0,2930514.0,2023-09-01
bj430564,天润科技,5.85,0.04,0.688,5.81,5.86,5.81,5.84,5.85,5.76,62481.0,362934.0,2023-09-01
bj430685,新芝生物,10.29,0.02,0.195,10.29,10.35,10.27,10.2,10.42,10.2,256623.0,2655340.0,2023-09-01
