序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业,date
1,000997,新 大 陆,8.380237579345703,17.33,17.59,799387120,17786838746.829998,17885650819.519997,4.505083084106445,0.0,093115,1,0/0,4.315196990966797,互联网服,2023-05-04
2,600612,老凤祥,9.69994068145752,73.85,74.05,628624336,23418546175.5,38632246576.0,2.7125213146209717,-0.06765899807214737,093308,2,2/1,4.545454502105713,珠宝首饰,2023-05-04
3,605198,安德利,1.4683544635772705,20.04,21.73,116479931,1678270641.6,7168308000.0,6.715592861175537,-0.04987531155347824,094317,1,0/0,10.02531623840332,食品饮料,2023-05-04
4,603825,华扬联众,7.762879371643066,15.27,15.59,332868928,3868449149.04,3868449149.04,8.7107572555542,-0.06544502824544907,094328,1,0/0,11.503175735473633,文化传媒,2023-05-04
5,002851,麦格米特,6.353958606719971,31.97,33.07,369363216,13122281357.15,15907291927.68,2.7770302295684814,-0.09375,094606,8,0/0,5.2228875160217285,电源设备,2023-05-04
6,600490,鹏欣资源,7.103825569152832,3.92,4.03,448752336,7811075833.12,8674517322.24,5.703411102294922,-0.5076141953468323,094617,1,0/0,6.830601215362549,有色金属,2023-05-04
7,603278,大业股份,9.53608226776123,8.5,8.54,144876743,2450511129.5,2463403496.0,5.951874732971191,-0.3516998887062073,094719,2,0/0,7.087628364562988,通用设备,2023-05-04
8,603027,千禾味业,9.848484992980957,26.1,26.14,981524512,25017857199.0,25198730251.2,3.9674999713897705,0.0,100405,2,0/0,4.755892276763916,食品饮料,2023-05-04
9,600415,小商品城,2.9958677291870117,9.97,10.65,6356047872,54400186126.72,54696158896.64001,11.377750396728516,-0.20020020008087158,101508,3,2/1,8.2644624710083,商业百货,2023-05-04
10,600072,中船科技,8.677098274230957,22.92,23.2,3067248688,16874847318.36,16874847432.960001,18.52358055114746,-0.08718395978212357,110152,2,0/0,10.43148422241211,船舶制造,2023-05-04
11,603116,红蜻蜓,6.91588830947876,5.72,5.89,141703175,3295868576.0,3295868576.0,4.279614448547363,0.0,130044,2,0/0,8.971961975097656,纺织服装,2023-05-04
12,601000,唐山港,5.063291072845459,4.15,4.35,836677776,24592603748.100002,24592604121.600002,3.3925728797912598,0.2415458858013153,131148,2,0/0,10.886075973510742,航运港口,2023-05-04
13,001872,招商港口,7.537688255310059,21.4,21.89,317878192,37288837520.2,53480197638.399994,0.876255989074707,0.9433962106704712,131554,1,0/0,11.105527877807617,航运港口,2023-05-04
14,600461,洪城环境,9.22459888458252,8.17,8.23,319430800,7770968825.75,8906216739.36,4.221389293670654,-0.3658536672592163,141306,1,0/0,10.29411792755127,公用事业,2023-05-04
15,000719,中原传媒,9.978463172912598,15.32,15.32,920566544,10220700358.76,15675481358.08,9.472249984741211,0.0,141733,1,0/0,10.480976104736328,文化传媒,2023-05-04
