序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
1,001324,长青科技,10.01523208618164,28.89,328304512,976614518.4300001,3986820000.0,34.14446258544922,73853991,093015,093015,0,3/3,3,交运设备,2023-08-16
9,000812,陕西金叶,10.037175178527832,5.92,389893760,4548162443.36,4550660239.36,8.74659538269043,109367749,094924,094924,0,1/1,1,包装材料,2023-08-16
8,300942,易瑞生物,20.0,15.54,345952400,1697101239.9599998,6229364400.0,20.966815948486328,24733945,093945,093945,0,1/1,1,化学制药,2023-08-16
22,600367,红星发展,10.028247833251953,15.58,403649472,4568626228.0,4568626352.64,9.156620025634766,37649070,132034,132034,0,1/1,1,化学原料,2023-08-16
7,000710,贝瑞基因,9.981515884399414,11.9,122266719,3698068276.0,4219809876.8,3.351600170135498,57799478,093800,093800,0,1/1,1,医疗器械,2023-08-16
3,600272,开开实业,10.021023750305176,15.7,868207216,2512000000.0,3815100000.0,35.07073974609375,19626570,093124,143021,8,6/5,4,医药商业,2023-08-16
20,600159,大龙地产,9.909910202026367,3.66,412095248,3037811829.12,3037811829.12,13.960620880126953,17286256,130118,142036,9,1/1,1,房地产开,2023-08-16
19,000609,中迪投资,9.925093650817871,5.87,185101567,1714563292.89,1756688602.4,11.267043113708496,97243007,111803,111803,0,1/1,1,房地产开,2023-08-16
18,600683,京投发展,10.076335906982422,7.21,588515600,5341006474.37,5341006496.0,11.371524810791016,23388374,111321,133039,2,1/1,1,房地产开,2023-08-16
17,600322,天房发展,10.15625,2.82,519123408,3118074000.0,3118074000.0,17.418537139892578,70910758,105117,105117,0,6/3,1,房地产开,2023-08-16
14,000514,渝 开 发,9.959349632263184,5.41,263305500,4564800920.650001,4564800893.6,5.9257659912109375,73222169,100939,100939,0,1/1,1,房地产开,2023-08-16
23,002235,安妮股份,10.0,8.47,1471307648,4643566974.97,4908977279.360001,33.65304946899414,126081032,141715,141715,0,3/2,1,文化传媒,2023-08-16
21,603569,长久物流,10.029717445373535,14.81,491095168,8298771992.63,8298771888.96,6.1481475830078125,20255933,131000,134951,4,3/2,1,物流行业,2023-08-16
10,000982,中银绒业,10.179640769958496,1.84,387055040,7841853777.52,7841853783.04,5.0327959060668945,418455799,095127,095233,1,1/1,1,电池,2023-08-16
15,301487,盟固利,19.990570068359375,50.9,1441360672,2771959486.1,23394476388.8,55.51121139526367,69969379,101348,101936,2,1/1,1,电池,2023-08-16
6,002451,摩恩电气,10.062111854553223,8.86,783921632,3890860139.9999995,3891311999.9999995,21.126689910888672,81428698,093645,093951,2,4/3,1,电网设备,2023-08-16
16,600156,华升股份,10.085836410522461,5.13,124094464,2062827901.26,2062827911.52,6.123570919036865,18928674,102147,102344,1,1/1,1,纺织服装,2023-08-16
2,600689,上海三毛,9.96204948425293,11.59,275856976,1764046017.37,2329489665.37,16.037328720092773,32692817,093022,100934,1,2/2,2,纺织服装,2023-08-16
12,600107,美尔雅,9.963099479675293,5.96,82370929,2145600000.0,2145600000.0,3.8974194526672363,42735160,095420,095420,0,1/1,1,纺织服装,2023-08-16
4,002652,扬子新材,10.169490814208984,3.25,94412497,1662429353.0,1664208000.0,5.754734039306641,43006840,093200,093200,0,1/1,1,装修建材,2023-08-16
5,002325,洪涛股份,9.815950393676758,1.79,183033546,2567030483.18,3144160432.32,7.190961837768555,28388023,093230,095512,1,1/1,1,装修装饰,2023-08-16
11,002945,华林证券,10.022778511047363,19.32,2514568864,52164000000.0,52164000000.0,4.948072910308838,174793836,095233,103618,11,2/2,2,证券,2023-08-16
13,301316,慧博云通,20.0,34.86,678603024,1394746403.82,13944348600.0,52.15348815917969,43147895,100754,100754,0,1/1,1,软件开发,2023-08-16
