序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业,date
78,688378,奥来德,1.3552361726760864,49.36,58.44,92525814,4622476731.5199995,7094300650.72,1.9970179796218872,0.0,1,0.8935694098472595,0/0,1,专用设备,2023-06-01
50,300097,智云股份,5.136436462402344,6.55,7.48,48035368,1768624109.3999999,1890000299.2,2.765316963195801,0.0,1,1.4381581544876099,0/0,1,专用设备,2023-06-01
48,301013,利和兴,5.639097690582275,14.05,15.96,247823977,2333595957.9500003,3284089936.8,10.773895263671875,0.0,1,2.032277822494507,0/0,1,专用设备,2023-06-01
11,600560,金自天正,10.02538013458252,17.34,17.34,231060107,3878012970.0,3878012970.0,5.958323001861572,0.0,1,2.3602054119110107,3/3,3,专用设备,2023-06-01
45,688529,豪森股份,5.843071460723877,25.36,28.75,91524519,1192538530.3999999,3246080000.0,7.671295642852783,0.0,1,6.622241497039795,0/0,1,专用设备,2023-06-01
104,002864,盘龙药业,-1.9403595924377441,48.01,53.86,387357120,3103003156.3399997,4653523842.2,12.094237327575684,0.0,1,1.348395824432373,0/0,1,中药,2023-06-01
88,688258,卓易信息,0.03198635205626488,93.82,112.55,119573461,8158267367.619999,8158267367.619999,1.4665040969848633,0.0,1,0.7995868921279907,0/0,1,互联网服,2023-06-01
91,603918,金桥信息,-0.3956834375858307,27.69,30.58,2148921328,10123060778.220001,10183247817.6,21.471437454223633,0.0,0,0.9619640111923218,12/6,2,互联网服,2023-06-01
51,300609,汇纳科技,5.093167781829834,25.38,28.98,378305808,2579891365.08,3107514256.2,14.823528289794922,0.0,1,1.4803776741027832,0/0,1,互联网服,2023-06-01
8,301270,汉仪股份,10.388605117797852,71.3,77.51,355907552,1430664588.6,7130000000.0,26.20457649230957,0.0,1,1.181123971939087,0/0,1,互联网服,2023-06-01
49,000997,新 大 陆,5.376344203948975,19.6,20.46,705752976,20116678559.600002,20228433702.4,3.5443294048309326,-0.0509943924844265,1,2.256842851638794,0/0,1,互联网服,2023-06-01
27,603869,新智认知,9.970237731933594,14.78,14.78,785994800,7456517508.24,7456517567.36,10.748568534851074,0.0,1,12.14391040802002,5/5,3,互联网服,2023-06-01
3,689009,九号公司-WD,20.012239456176758,39.22,39.22,764707824,20068890864.6,28099113150.719997,4.028868675231934,0.0,1,5.667776584625244,1/1,1,交运设备,2023-06-01
92,603680,今创集团,-0.4721435308456421,10.54,11.65,218095003,8260395804.179999,8260395814.719999,2.559685230255127,0.0,1,6.198575019836426,2/1,1,交运设备,2023-06-01
1,300165,天瑞仪器,20.06369400024414,7.54,7.54,650920528,2929194460.66,3736158429.12,23.444704055786133,0.0,1,2.6736998558044434,1/1,1,仪器仪表,2023-06-01
94,002980,华盛昌,-0.8002461791038513,32.23,35.74,43437678,4297335482.0,4394718427.0,0.9936745166778564,0.09316769987344742,1,1.7917492389678955,0/0,1,仪器仪表,2023-06-01
