,周一,周二,周三,周四,周五
市场焦点股,"中马传动 5天4板3连板;
南方精工 6天4板3连板;
","中马传动 6天5板4连板;
南方精工 7天5板4连板;","中马传动 7天6板5连板；
深南电A 4连板;
华脉科技 4连板;","中马传动 8天7板6连板;
华脉科技 5连板",华脉科技 6连板;
机器人,"南方精工 6天4板3连板;
京城股份 2连板;
恒为科技 3天2板;","南方精工 7天5板4连板;
秦川机床 4天2板;
",东方通信 2连板,"东方通信 3连板;
恒为科技 6天3板;
联诚精密 2连板;
优德精密 2连板;","巨轮智能 2连板;
林州重机 3天2板;"
复合集流体,双星新材 2连板;,,,,"英联股份 5天3板;
双星新材 6天3板;"
汽车产业链,中马传动 5天4板3连板;,中马传动 6天5板4连板,中马传动 7天6板5连板；,"中马传动 8天7板6连板;
襄阳轴承 2连板;",襄阳轴承 3连板;
电力,"深南电A 2连板;
新中港 2连板",深南电A 3连板,"深南电A 4连板;
世茂能源 3天2板
桂东电力 3天2板;",,
算力,,华脉科技 3连板;,华脉科技 4连板;,,
锂电产业链,,英联股份 2连板;,,,
光伏,,,,,
氢能,,京城股份 3连板,,,
智能电网,,惠程科技 4天2板；,,,
军工（中船系）,,,,,
房地产产业链,,,"中迪投资 2连板;
好太太 2连板;",,中南建设 4天2板
AI应用端,,,惠程科技 5天3板2连板;,"润达医疗 8天4板;
同为股份 3天2板",
光通信,,,,华脉科技 5连板;,华脉科技 6连板;
锂电池,,,,,欧克科技 2连板
旅游酒店,,长白山 2连板,,,
其他,,东晶电子 3连板,,,
