,周一0807,周二0808,周三0809,周四0810,周五0811
市场焦点股,"国缆检测 5天4板2连板;
百利电气 5天4板2连板;
首创证券 7天4板3连板;
安硕信息 2连板;","惠发食品 6天4板;
恒银科技 3连板;","恒银科技 4连板;
科源制药 2连板;","恒银科技 5连板;
首创证券 6天4板;
科源制药 3连板;","科源制药 4连板;
塞力医疗 4连板;
乾景园林 4天3板2连板;"
超导,"国缆检测 5天4板2连板;
百利电气 5天4板2连板;",,,,
数据要素,中原传媒 6天3板2连板;,,,,
传媒,,金逸影视 2连板;,,,
光通信,华西股份 2连板;,,,,
汽车产业链,,,,,
大金融,"首创证券 7天4板3连板;
恒银科技 2连板;
安硕信息 2连板;",恒银科技 3连板;,恒银科技 4连板;,"恒银科技 5连板;
首创证券 6天4板;
御银股份 2连板;
华资实业 3天2板;",
农业种植,,,,,
医药,,"海欣股份 3天2板;
神奇制药 4天2板;
双成药业 4天2板;","塞力医疗 2连板;
华森制药 2连板;
科源制药 2连板;",,"塞力医疗 4连板;
科源制药 4连板;
开开实业 3天2板;"
水利基建,,,,,
天然气,,,,,
次新股,,,,科源制药 3连板,
机器人,,,,,
房地产,,,,,天房发展 3天2板;
